A120##123##Mahmoud Mohamed##01019045321##5000.000000
A160##403##Ali Maher##01138961370##4000.000000
A190##468##Asmaa Adel##0100446970##1200.000000
A200##777##Rahma Emad##01591608367##2500.000000
A145##323##Ahmed Esam##01551729863##7500.500000
S40##453##Salah Ibraheem##01128961180##4000.000000
V20##478##Ysmeem Osama##0124536936##1200.000000
X90##761##Rahma Emad##01551628763##2500.000000
E74##373##Shimaa Hesham##01251728863##7500.500000
G32##394##Bahaa Ahmed##01252978263##8500.500000
F890##944##Ahmed Nabil##01052074263##8500.500000
